20220909;9;21850;21574,600
20220909;10;21850;21791,525
20220909;11;21800;21571,575
20220909;12;21800;21896,738
20220909;13;21900;21948,063
20220909;14;21900;21787,000
20220909;15;21400;21384,800
20220909;16;21400;21396,275
20220909;17;21250;21203,513
20220909;18;21200;21101,525
20220909;19;21100;20801,138
20220909;20;22200;21477,475
20220909;21;22200;21436,150
20220909;22;21150;20038,788
20220909;23;18950;18551,850
20220909;24;17600;17248,675
20220910;1;16550;16282,300
20220910;2;15950;15731,038
20220910;3;15350;15382,363
20220910;4;15250;15317,113
20220910;5;15250;15303,175
20220910;6;15350;15235,388
20220910;7;16650;15678,700
20220910;8;18050;16833,038
20220910;9;19200;18091,800
20220910;10;19700;19097,100
20220910;11;19750;19567,875
20220910;12;19850;19686,275
20220910;13;20000;19797,375
20220910;14;20000;19212,100
20220910;15;19500;18665,300
20220910;16;19250;18661,675
20220910;17;19050;18189,663
20220910;18;19000;18403,600
20220910;19;19000;18405,975
20220910;20;19450;19073,175
20220910;21;19335;18921,475
20220910;22;18435;17852,075
20220910;23;17084;16609,388
20220910;24;15933;15514,925
20220911;1;14700;14400,988
20220911;2;14100;13761,263
20220911;3;13600;13401,675
20220911;4;13400;13275,900
20220911;5;13400;13157,188
20220911;6;13550;13173,825
20220911;7;13950;13191,400
20220911;8;15000;13796,188
20220911;9;16000;14890,950
20220911;10;16700;15980,075
20220911;11;17050;16450,538
20220911;12;17250;16761,300
20220911;13;17300;16708,600
20220911;14;17300;16496,163
20220911;15;17250;16185,438
20220911;16;17050;15851,850
20220911;17;16850;15772,988
20220911;18;17150;16003,400
20220911;19;17750;16573,763
20220911;20;18800;17663,400
20220911;21;18650;17906,563
20220911;22;17600;16809,025
20220911;23;16650;15905,400
20220911;24;15700;14922,925
20220912;1;14550;14063,713
20220912;2;14150;13674,338
20220912;3;13900;13585,988
20220912;4;14000;13518,888
20220912;5;14650;13806,800
20220912;6;16200;14780,275
20220912;7;19300;17507,338
20220912;8;20850;19716,738
20220912;9;21700;20929,813
20220912;10;21700;21111,338
20220912;11;21800;20789,100
20220912;12;21850;20863,700
20220912;13;22050;21080,050
20220912;14;22050;21164,175
20220912;15;21600;20685,863
20220912;16;21550;21098,388
20220912;17;21350;20994,288
20220912;18;21200;20835,600
20220912;19;21550;20867,450
20220912;20;22600;21977,825
20220912;21;22550;22014,038
20220912;22;21150;20325,100
20220912;23;19100;18741,700
20220912;24;17800;17364,775
20220913;1;16750;16282,600
20220913;2;16050;15660,538
20220913;3;15700;15380,875
20220913;4;15750;15389,188
20220913;5;16150;15658,825
20220913;6;17150;16343,550
20220913;7;19900;18381,350
20220913;8;21200;20206,463
20220913;9;21800;21161,950
20220913;10;21800;21184,800
20220913;11;21800;20835,388
20220913;12;21800;21180,238
20220913;13;22000;21270,988
20220913;14;22000;21322,325
20220913;15;21650;21140,638
20220913;16;21650;21089,938
20220913;17;21650;20989,838
20220913;18;21550;20968,325
20220913;19;21650;20956,100
20220913;20;22600;22097,325
20220913;21;22600;22052,988
20220913;22;21250;20348,775
20220913;23;19200;18641,363
20220913;24;17700;17146,613
20220914;1;16500;16121,463
20220914;2;15750;15672,363
20220914;3;15450;15350,800
20220914;4;15500;15350,325
20220914;5;16050;15701,175
20220914;6;17150;16430,113
20220914;7;19850;18515,375
20220914;8;21150;20266,038
20220914;9;21700;21115,400
20220914;10;21700;21360,650
20220914;11;21550;20951,975
20220914;12;21650;21158,650
20220914;13;22000;21140,875
20220914;14;22000;21073,475
20220914;15;21650;20894,600
20220914;16;21650;21210,700
20220914;17;21650;21278,750
20220914;18;21450;21136,388
20220914;19;21500;21106,088
20220914;20;22600;22187,700
20220914;21;22550;22083,875
20220914;22;21300;20531,413
20220914;23;19250;18929,050
20220914;24;17850;17541,638
20220915;1;16750;16457,975
20220915;2;16000;15979,425
20220915;3;15700;15778,538
20220915;4;15750;15825,250
20220915;5;16300;15968,900
20220915;6;17450;16818,225
20220915;7;20150;18828,713
20220915;8;21450;20721,625
20220915;9;22150;21634,175
20220915;10;22150;21671,138
20220915;11;22100;21213,400
20220915;12;22200;21400,338
20220915;13;22350;21616,025
20220915;14;22350;21552,775
20220915;15;22100;21224,025
20220915;16;22100;21170,425
20220915;17;22000;21073,388
20220915;18;21800;20806,888
